competitor_name,event,species,diameter,actual_time,predicted_time,error,abs_error,confidence,std_dev
Kate Witkowski,UH,S01,300,42,19.931204713323535,-22.068795286676465,22.068795286676465,LOW,5.094347941825426
Jason Lentz,SB,S01,300,16,19.06886082749152,3.0688608274915197,3.0688608274915197,MEDIUM,2.7848491189622133
Walt Page,UH,S01,320,18,23.39331247238181,5.393312472381812,5.393312472381812,MEDIUM,4.08248290463863
Matt Cogar,SB,S01,300,17,18.312610806844326,1.3126108068443259,1.3126108068443259,MEDIUM,2.7458668842892875
Matt Cogar,UH,S01,320,14,20.122919082083747,6.122919082083747,6.122919082083747,MEDIUM,3.4036665871614304
Kailee Curtis,UH,S06,269,69,36.29225596026226,-32.70774403973774,32.70774403973774,MEDIUM,6.0
Brianna Kvinge,UH,S05,254,139,31.32397673324669,-107.6760232667533,107.6760232667533,LOW,6.0
Cody Labahn,SB,S01,300,32,21.565859119643157,-10.434140880356843,10.434140880356843,LOW,6.0
Arden Cogar Jr,UH,S01,320,22,23.150879260875463,1.1508792608754632,1.1508792608754632,MEDIUM,2.8752470249607174
Cole Schlenker,SB,S05,304,38,32.19497948026907,-5.805020519730931,5.805020519730931,LOW,6.0
Matt Cogar,SB,S01,300,13,18.562161306263512,5.562161306263512,5.562161306263512,MEDIUM,2.6856848709047108
David Moses Jr.,SB,S01,300,21,21.49714119388799,0.49714119388799105,0.49714119388799105,LOW,3.9440531887330774
Matt Cogar,SB,S01,300,15,18.555935323123762,3.5559353231237623,3.5559353231237623,MEDIUM,2.7411637117515717
Jason Lentz,UH,S01,320,20,22.553698480661346,2.553698480661346,2.553698480661346,MEDIUM,4.260913589288641
Matt Cogar,SB,S01,300,14,18.4678998690816,4.467899869081599,4.467899869081599,MEDIUM,2.719898796346216
David Moses Jr.,UH,S01,320,24,24.83262156145129,0.8326215614512904,0.8326215614512904,LOW,6.0
Matt Cogar,SB,S01,300,17,18.34273574494728,1.34273574494728,1.34273574494728,MEDIUM,2.7458668842892875
Martha King,SB,S10,250,32,37.06079310290188,5.060793102901883,5.060793102901883,LOW,6.0
James Hartley,UH,S04,304,71,39.46592420549064,-31.534075794509363,31.534075794509363,LOW,6.0
Walt Page,UH,S01,320,20,23.204721096878934,3.2047210968789344,3.2047210968789344,MEDIUM,4.210924370963104
